{'loss': 0.5848, 'grad_norm': 2.18641996383667, 'learning_rate': 2.977387664942161e-05, 'epoch': 0.4}                                                                        
{'loss': 0.4835, 'grad_norm': 1.6548888683319092, 'learning_rate': 2.974481195140383e-05, 'epoch': 0.41}                                                                     
{'loss': 0.6696, 'grad_norm': 1.254259467124939, 'learning_rate': 2.971574725338604e-05, 'epoch': 0.41}                                                                      
{'loss': 0.5184, 'grad_norm': 2.114659309387207, 'learning_rate': 2.968668255536825e-05, 'epoch': 0.41}                                                                      
{'loss': 0.7522, 'grad_norm': 2.6974308490753174, 'learning_rate': 2.965761785735046e-05, 'epoch': 0.41}                                                                     
{'loss': 0.6558, 'grad_norm': 1.5166962146759033, 'learning_rate': 2.962855315933268e-05, 'epoch': 0.41}                                                                     
{'loss': 0.5962, 'grad_norm': 2.322880983352661, 'learning_rate': 2.959948846131489e-05, 'epoch': 0.41}                                                                      
{'loss': 0.4891, 'grad_norm': 1.8301289081573486, 'learning_rate': 2.95704237632971e-05, 'epoch': 0.41}                                                                      
{'loss': 0.705, 'grad_norm': 2.268202543258667, 'learning_rate': 2.954135906527931e-05, 'epoch': 0.41}                                                                       
{'loss': 0.6442, 'grad_norm': 2.0811023712158203, 'learning_rate': 2.9512294367261528e-05, 'epoch': 0.41}                                                                    
{'loss': 0.7497, 'grad_norm': 2.138000011444092, 'learning_rate': 2.948322966924374e-05, 'epoch': 0.41}                                                                      
{'loss': 0.6746, 'grad_norm': 2.0310885906219482, 'learning_rate': 2.945416497122595e-05, 'epoch': 0.41}                                                                     
{'loss': 0.5015, 'grad_norm': 2.5085785388946533, 'learning_rate': 2.942510027320816e-05, 'epoch': 0.41}                                                                     
{'loss': 0.4078, 'grad_norm': 2.2976415157318115, 'learning_rate': 2.9396035575190374e-05, 'epoch': 0.41}                                                                    
{'loss': 0.6646, 'grad_norm': 3.37313175201416, 'learning_rate': 2.936697087717259e-05, 'epoch': 0.41}                                                                       
{'loss': 0.7366, 'grad_norm': 2.733069658279419, 'learning_rate': 2.93379061791548e-05, 'epoch': 0.41}                                                                       
{'loss': 0.7405, 'grad_norm': 2.0402984619140625, 'learning_rate': 2.9308841481137013e-05, 'epoch': 0.41}                                                                    
{'loss': 0.5384, 'grad_norm': 2.005800724029541, 'learning_rate': 2.9279776783119224e-05, 'epoch': 0.41}                                                                     
{'loss': 0.7112, 'grad_norm': 1.7002183198928833, 'learning_rate': 2.9250712085101438e-05, 'epoch': 0.42}                                                                    
{'loss': 0.5813, 'grad_norm': 1.4316024780273438, 'learning_rate': 2.9221647387083652e-05, 'epoch': 0.42}                                                                    
{'loss': 0.6922, 'grad_norm': 1.9791691303253174, 'learning_rate': 2.9192582689065863e-05, 'epoch': 0.42}                                                                    
{'loss': 0.7558, 'grad_norm': 1.6488348245620728, 'learning_rate': 2.9163517991048073e-05, 'epoch': 0.42}                                                                    
{'loss': 0.5791, 'grad_norm': 2.5361526012420654, 'learning_rate': 2.913445329303029e-05, 'epoch': 0.42}                                                                     
{'loss': 0.542, 'grad_norm': 2.7197859287261963, 'learning_rate': 2.91053885950125e-05, 'epoch': 0.42}                                                                       
{'loss': 0.6295, 'grad_norm': 2.1576576232910156, 'learning_rate': 2.9076323896994712e-05, 'epoch': 0.42}                                                                    
{'loss': 0.5367, 'grad_norm': 1.3642727136611938, 'learning_rate': 2.9047259198976923e-05, 'epoch': 0.42}                                                                    
{'loss': 0.3405, 'grad_norm': 2.3021180629730225, 'learning_rate': 2.9018194500959134e-05, 'epoch': 0.42}                                                                    
{'loss': 0.5269, 'grad_norm': 1.5404366254806519, 'learning_rate': 2.898912980294135e-05, 'epoch': 0.42}                                                                     
{'loss': 0.7118, 'grad_norm': 2.385931968688965, 'learning_rate': 2.8960065104923562e-05, 'epoch': 0.42}                                                                     
{'loss': 0.4895, 'grad_norm': 4.0155205726623535, 'learning_rate': 2.8931000406905773e-05, 'epoch': 0.42}                                                                    
{'loss': 0.5694, 'grad_norm': 1.4640952348709106, 'learning_rate': 2.8901935708887983e-05, 'epoch': 0.42}                                                                    
{'loss': 0.54, 'grad_norm': 1.6949074268341064, 'learning_rate': 2.88728710108702e-05, 'epoch': 0.42}                                                                        
{'loss': 0.3502, 'grad_norm': 2.844654083251953, 'learning_rate': 2.884380631285241e-05, 'epoch': 0.42}                                                                      
{'loss': 0.6614, 'grad_norm': 1.9475884437561035, 'learning_rate': 2.8814741614834622e-05, 'epoch': 0.42}                                                                    
{'loss': 0.5487, 'grad_norm': 1.7373719215393066, 'learning_rate': 2.8785676916816833e-05, 'epoch': 0.42}                                                                    
{'loss': 0.5646, 'grad_norm': 1.981817364692688, 'learning_rate': 2.875661221879905e-05, 'epoch': 0.42}                                                                      
{'loss': 0.6895, 'grad_norm': 2.7535274028778076, 'learning_rate': 2.872754752078126e-05, 'epoch': 0.43}                                                                     
{'loss': 0.6683, 'grad_norm': 2.592521905899048, 'learning_rate': 2.8698482822763472e-05, 'epoch': 0.43}                                                                     
{'loss': 0.7561, 'grad_norm': 2.1866164207458496, 'learning_rate': 2.8669418124745682e-05, 'epoch': 0.43}                                                                    
{'loss': 0.583, 'grad_norm': 2.190889835357666, 'learning_rate': 2.8640353426727897e-05, 'epoch': 0.43}                                                                      
{'loss': 0.6376, 'grad_norm': 2.0306448936462402, 'learning_rate': 2.861128872871011e-05, 'epoch': 0.43}                                                                     
{'loss': 0.8366, 'grad_norm': 2.358700752258301, 'learning_rate': 2.858222403069232e-05, 'epoch': 0.43}                                                                      
{'loss': 0.5994, 'grad_norm': 2.0831716060638428, 'learning_rate': 2.8553159332674535e-05, 'epoch': 0.43}                                                                    
{'loss': 0.7176, 'grad_norm': 3.646359443664551, 'learning_rate': 2.8524094634656746e-05, 'epoch': 0.43}                                                                     
{'loss': 0.6209, 'grad_norm': 1.9126951694488525, 'learning_rate': 2.849502993663896e-05, 'epoch': 0.43}                                                                     
{'loss': 0.6163, 'grad_norm': 2.9207377433776855, 'learning_rate': 2.8465965238621174e-05, 'epoch': 0.43}                                                                    
{'loss': 0.5164, 'grad_norm': 2.9288175106048584, 'learning_rate': 2.8436900540603385e-05, 'epoch': 0.43}                                                                    
{'loss': 0.4931, 'grad_norm': 2.169527053833008, 'learning_rate': 2.8407835842585596e-05, 'epoch': 0.43}                                                                     
{'loss': 0.576, 'grad_norm': 1.9343606233596802, 'learning_rate': 2.8378771144567813e-05, 'epoch': 0.43}                                                                     
{'loss': 0.8363, 'grad_norm': 1.6166425943374634, 'learning_rate': 2.8349706446550024e-05, 'epoch': 0.43}                                                                    
{'loss': 0.554, 'grad_norm': 1.5988447666168213, 'learning_rate': 2.8320641748532235e-05, 'epoch': 0.43}                                                                     
{'loss': 0.559, 'grad_norm': 2.1208224296569824, 'learning_rate': 2.8291577050514445e-05, 'epoch': 0.43}                                                                     
{'loss': 0.6834, 'grad_norm': 1.7232725620269775, 'learning_rate': 2.8262512352496656e-05, 'epoch': 0.43}                                                                    
{'loss': 0.537, 'grad_norm': 2.170471668243408, 'learning_rate': 2.8233447654478873e-05, 'epoch': 0.44}                                                                      
{'loss': 0.6056, 'grad_norm': 3.4118480682373047, 'learning_rate': 2.8204382956461084e-05, 'epoch': 0.44}                                                                    
{'loss': 0.5617, 'grad_norm': 1.672738790512085, 'learning_rate': 2.8175318258443295e-05, 'epoch': 0.44}                                                                     
{'loss': 0.8245, 'grad_norm': 2.6968908309936523, 'learning_rate': 2.8146253560425506e-05, 'epoch': 0.44}                                                                    
{'loss': 0.7044, 'grad_norm': 2.968334197998047, 'learning_rate': 2.8117188862407723e-05, 'epoch': 0.44}                                                                     
{'loss': 0.5375, 'grad_norm': 2.8410708904266357, 'learning_rate': 2.8088124164389934e-05, 'epoch': 0.44}                                                                    
{'loss': 0.5282, 'grad_norm': 1.623530626296997, 'learning_rate': 2.8059059466372144e-05, 'epoch': 0.44}                                                                     
{'loss': 0.4963, 'grad_norm': 1.3567376136779785, 'learning_rate': 2.8029994768354355e-05, 'epoch': 0.44}                                                                    
{'loss': 0.6657, 'grad_norm': 2.17625093460083, 'learning_rate': 2.8000930070336573e-05, 'epoch': 0.44}                                                                      
{'loss': 0.6448, 'grad_norm': 1.7863011360168457, 'learning_rate': 2.7971865372318783e-05, 'epoch': 0.44}                                                                    
{'loss': 0.5633, 'grad_norm': 1.7190189361572266, 'learning_rate': 2.7942800674300994e-05, 'epoch': 0.44}                                                                    
{'loss': 0.5036, 'grad_norm': 1.9894145727157593, 'learning_rate': 2.7913735976283205e-05, 'epoch': 0.44}                                                                    
{'loss': 0.4591, 'grad_norm': 2.6167798042297363, 'learning_rate': 2.7884671278265422e-05, 'epoch': 0.44}                                                                    
{'loss': 0.5383, 'grad_norm': 3.5149710178375244, 'learning_rate': 2.7855606580247633e-05, 'epoch': 0.44}                                                                    
{'loss': 0.7404, 'grad_norm': 2.3020339012145996, 'learning_rate': 2.7826541882229844e-05, 'epoch': 0.44}                                                                    
{'loss': 0.508, 'grad_norm': 1.6353628635406494, 'learning_rate': 2.7797477184212058e-05, 'epoch': 0.44}                                                                     
{'loss': 0.4948, 'grad_norm': 1.7650645971298218, 'learning_rate': 2.776841248619427e-05, 'epoch': 0.44}                                                                     
{'loss': 0.7209, 'grad_norm': 1.8997669219970703, 'learning_rate': 2.7739347788176483e-05, 'epoch': 0.45}                                                                    
{'loss': 0.6761, 'grad_norm': 1.9474360942840576, 'learning_rate': 2.7710283090158697e-05, 'epoch': 0.45}                                                                    
{'loss': 0.6079, 'grad_norm': 1.9370149374008179, 'learning_rate': 2.7681218392140907e-05, 'epoch': 0.45}                                                                    
{'loss': 0.5577, 'grad_norm': 2.313002347946167, 'learning_rate': 2.7652153694123118e-05, 'epoch': 0.45}                                                                     
{'loss': 0.6537, 'grad_norm': 4.26321268081665, 'learning_rate': 2.7623088996105335e-05, 'epoch': 0.45}                                                                      
{'loss': 0.6882, 'grad_norm': 2.8870556354522705, 'learning_rate': 2.7594024298087546e-05, 'epoch': 0.45}                                                                    
{'loss': 0.6834, 'grad_norm': 1.2988616228103638, 'learning_rate': 2.7564959600069757e-05, 'epoch': 0.45}                                                                    
{'loss': 0.4078, 'grad_norm': 2.127048969268799, 'learning_rate': 2.7535894902051968e-05, 'epoch': 0.45}                                                                     
{'loss': 0.5977, 'grad_norm': 1.9680525064468384, 'learning_rate': 2.7506830204034185e-05, 'epoch': 0.45}                                                                    
{'loss': 0.5413, 'grad_norm': 2.5895845890045166, 'learning_rate': 2.7477765506016396e-05, 'epoch': 0.45}                                                                    
{'loss': 0.6157, 'grad_norm': 1.673661708831787, 'learning_rate': 2.7448700807998606e-05, 'epoch': 0.45}                                                                     
{'loss': 0.5172, 'grad_norm': 1.7368391752243042, 'learning_rate': 2.7419636109980817e-05, 'epoch': 0.45}                                                                    
{'loss': 0.5351, 'grad_norm': 1.7318682670593262, 'learning_rate': 2.7390571411963028e-05, 'epoch': 0.45}                                                                    
{'loss': 0.6378, 'grad_norm': 1.821315884590149, 'learning_rate': 2.7361506713945245e-05, 'epoch': 0.45}                                                                     
{'loss': 0.5989, 'grad_norm': 2.312274217605591, 'learning_rate': 2.7332442015927456e-05, 'epoch': 0.45}                                                                     
{'loss': 0.6255, 'grad_norm': 2.3456106185913086, 'learning_rate': 2.7303377317909667e-05, 'epoch': 0.45}                                                                    
{'loss': 0.6039, 'grad_norm': 1.432410478591919, 'learning_rate': 2.7274312619891877e-05, 'epoch': 0.45}                                                                     
{'loss': 0.6964, 'grad_norm': 1.7827388048171997, 'learning_rate': 2.7245247921874095e-05, 'epoch': 0.46}                                                                    
{'loss': 0.4934, 'grad_norm': 1.563481330871582, 'learning_rate': 2.7216183223856306e-05, 'epoch': 0.46}                                                                     
{'loss': 0.3765, 'grad_norm': 1.2108627557754517, 'learning_rate': 2.7187118525838516e-05, 'epoch': 0.46}                                                                    
{'loss': 0.5938, 'grad_norm': 2.6752896308898926, 'learning_rate': 2.7158053827820727e-05, 'epoch': 0.46}                                                                    
{'loss': 0.4874, 'grad_norm': 1.8583070039749146, 'learning_rate': 2.7128989129802945e-05, 'epoch': 0.46}                                                                    
{'loss': 0.6743, 'grad_norm': 1.6710126399993896, 'learning_rate': 2.7099924431785155e-05, 'epoch': 0.46}                                                                    
{'loss': 0.5213, 'grad_norm': 2.5006418228149414, 'learning_rate': 2.7070859733767366e-05, 'epoch': 0.46}                                                                    
{'loss': 0.641, 'grad_norm': 1.6164780855178833, 'learning_rate': 2.704179503574958e-05, 'epoch': 0.46}                                                                      
{'loss': 0.5225, 'grad_norm': 3.031726598739624, 'learning_rate': 2.701273033773179e-05, 'epoch': 0.46}                                                                      
{'loss': 0.5544, 'grad_norm': 1.6205813884735107, 'learning_rate': 2.6983665639714005e-05, 'epoch': 0.46}                                                                    
{'loss': 0.6521, 'grad_norm': 1.5479556322097778, 'learning_rate': 2.695460094169622e-05, 'epoch': 0.46}                                                                     
{'loss': 0.705, 'grad_norm': 2.232987403869629, 'learning_rate': 2.692553624367843e-05, 'epoch': 0.46}                                                                       
{'loss': 0.7342, 'grad_norm': 2.8520312309265137, 'learning_rate': 2.689647154566064e-05, 'epoch': 0.46}                                                                     
{'loss': 0.5558, 'grad_norm': 1.4382635354995728, 'learning_rate': 2.6867406847642858e-05, 'epoch': 0.46}                                                                    
{'loss': 0.594, 'grad_norm': 2.636704921722412, 'learning_rate': 2.683834214962507e-05, 'epoch': 0.46}                                                                       
{'loss': 0.5515, 'grad_norm': 2.139768123626709, 'learning_rate': 2.680927745160728e-05, 'epoch': 0.46}                                                                      
{'loss': 0.6174, 'grad_norm': 1.524795651435852, 'learning_rate': 2.678021275358949e-05, 'epoch': 0.46}                                                                      
{'loss': 0.556, 'grad_norm': 1.484830617904663, 'learning_rate': 2.6751148055571707e-05, 'epoch': 0.47}                                                                      
{'loss': 0.5149, 'grad_norm': 2.0190207958221436, 'learning_rate': 2.6722083357553918e-05, 'epoch': 0.47}                                                                    
{'loss': 0.5939, 'grad_norm': 2.348529577255249, 'learning_rate': 2.669301865953613e-05, 'epoch': 0.47}                                                                      
{'loss': 0.5187, 'grad_norm': 1.8023611307144165, 'learning_rate': 2.666395396151834e-05, 'epoch': 0.47}                                                                     
{'loss': 0.4593, 'grad_norm': 1.992191195487976, 'learning_rate': 2.663488926350055e-05, 'epoch': 0.47}                                                                      
{'loss': 0.605, 'grad_norm': 2.4058468341827393, 'learning_rate': 2.6605824565482768e-05, 'epoch': 0.47}                                                                     
{'loss': 0.5304, 'grad_norm': 3.4133386611938477, 'learning_rate': 2.657675986746498e-05, 'epoch': 0.47}                                                                     
{'loss': 0.6764, 'grad_norm': 1.3650883436203003, 'learning_rate': 2.654769516944719e-05, 'epoch': 0.47}                                                                     
{'loss': 0.623, 'grad_norm': 2.012258291244507, 'learning_rate': 2.65186304714294e-05, 'epoch': 0.47}                                                                        
{'loss': 0.6007, 'grad_norm': 2.4434168338775635, 'learning_rate': 2.6489565773411617e-05, 'epoch': 0.47}                                                                    
{'loss': 0.6154, 'grad_norm': 2.040921926498413, 'learning_rate': 2.6460501075393828e-05, 'epoch': 0.47}                                                                     
{'loss': 0.6828, 'grad_norm': 2.6544718742370605, 'learning_rate': 2.643143637737604e-05, 'epoch': 0.47}                                                                     
{'loss': 0.6113, 'grad_norm': 1.490352749824524, 'learning_rate': 2.640237167935825e-05, 'epoch': 0.47}                                                                      
{'loss': 0.6144, 'grad_norm': 2.6094887256622314, 'learning_rate': 2.6373306981340467e-05, 'epoch': 0.47}                                                                    
{'loss': 0.451, 'grad_norm': 1.7553380727767944, 'learning_rate': 2.6344242283322677e-05, 'epoch': 0.47}                                                                     
{'loss': 0.5177, 'grad_norm': 1.4107346534729004, 'learning_rate': 2.6315177585304888e-05, 'epoch': 0.47}                                                                    
{'loss': 0.5527, 'grad_norm': 2.127277374267578, 'learning_rate': 2.6286112887287102e-05, 'epoch': 0.47}                                                                     
{'loss': 0.6166, 'grad_norm': 2.1648874282836914, 'learning_rate': 2.6257048189269313e-05, 'epoch': 0.47}                                                                    
{'loss': 0.578, 'grad_norm': 2.2872941493988037, 'learning_rate': 2.6227983491251527e-05, 'epoch': 0.48}                                                                     
{'loss': 0.5691, 'grad_norm': 1.9312081336975098, 'learning_rate': 2.619891879323374e-05, 'epoch': 0.48}                                                                     
{'loss': 0.4439, 'grad_norm': 3.0109939575195312, 'learning_rate': 2.6169854095215952e-05, 'epoch': 0.48}                                                                    
{'loss': 0.6179, 'grad_norm': 1.5174745321273804, 'learning_rate': 2.6140789397198163e-05, 'epoch': 0.48}                                                                    
{'loss': 0.7069, 'grad_norm': 1.8660935163497925, 'learning_rate': 2.611172469918038e-05, 'epoch': 0.48}                                                                     
{'loss': 0.5483, 'grad_norm': 2.542311906814575, 'learning_rate': 2.608266000116259e-05, 'epoch': 0.48}                                                                      
{'loss': 0.5578, 'grad_norm': 1.5625412464141846, 'learning_rate': 2.60535953031448e-05, 'epoch': 0.48}                                                                      
